Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
Europe,Georgia,Tbilisi,,Tbilisi Hills,Holiday,,,2021,,Dale Ramsey,,,,,,,,,,,,,,New,Open,,,2020-07-20,41.680164,44.784098,,http://anagi.ge/en/project/tabori---hotel-and-golf-club-tbilisi/148,,19EaIb9h03w,,,,,,,,,Hotel,,Shaping,,,,,,,,,
Europe,Germany,Dusseldurf,,Niederrheinischer,Holiday,Member,,2021,,Moser,,,,,,,,,,,,,,Renovate,Open,,,2021-02-25,51.378977,6.781409,,https://ngcd.de/,,,mosergolf,Moser,,,,,,,Bunkers,,,,,,https://www.moseronadozer.com/projects,,,,,
Europe,Germany,Frankfurt,,Hof Hausen,Holiday,,,2021,,VanderVaart,,,,,,,,,,,,,,Renovate,Open,,,2020-10-08,50.11356,8.457676,,https://www.hofhausengolf.de/,,,,,,,,,,,,,,,,,,,,,,
Europe,Germany,Hamburg,,Hamburger Falkenstein,Holiday,,100,2021,,Pont Hilgert,,,,,,,,,,,,,,Renovate,Open,,Colt,2021-03-01,53.57247,9.772146,,https://www.golfclub-falkenstein.de/,,,,,,,,,,,Bunkers,,,cdpgolf1/status/1366437446590816262,Update,,,,,,,
Europe,Germany,Hamburg,,Maritim Golfpark Ostsee,Holiday,,,2021,,Pont Hilgert,,,,,,,,,,,,,,Renovate,Open,,,2020-09-22,53.965518,10.807249,,https://www.maritim.com/en/golfpark,,,,,,,,,,,,,,,,,,,,,,
Europe,Germany,Rhinesland,,Aachener GC,Holiday,,,2021,,Moser,,,,,,,,,,,,,1927,Renovate,Open,,Colt,2021-03-01,50.782546,5.961295,,https://www.aachener-golfclub.de/,,,,,,,,,,,,,,,,,,,,,,
Europe,Germany,Weimar,,Spa Anna Amalia,Holiday,Public,Short,2021,9,Reinmuth Städler,,,,,,,,,,,,,,New,Open,,,2022-04-12,50.8751406,11.3404821,,https://www.golfresort-weimarerland.de/spa-golf-hotel/golfen/golfplaetze/anna-amalia-course.html,,,,,,,,,,,,,,,,,,,,,,
Europe,Italy,Roma,,Marco Simone,Holiday,,,2021,,Sampson Slessor,,,,Fazio II ,SOL Golf,,,,@CapConGolf,,,,,Renovate,Open,,Simone,2021-08-07,41.959633,12.629589,,http://www.golfmarcosimone.com/en/,,lG-OAQfUFGQ,,,,,,,,,Ryder Cup,,As of 2020,eurogolfdesign/status/1365689886553083913,Images,,,,,,,
Europe,Italy,Sicily,,Verdura,Holiday,,,2021,,Phillips,,,,,Swilken Landscaping,,,,,,,,,Renovate,Open,,,2021-10-18,37.469316,13.194998,,https://www.golfcoursearchitecture.net/content/redesigned-east-course-opens-at-verdura-resort,,TSx8HxlxYtk,,,,,,,,,Flooding,,East,Verdura_Resort/status/1399758355279794184,Images,,,,,,,
Europe,Netherlands,Molenschot,,Princenbosch,Holiday,,,2021,,Rijks,,,,,,,,,,,,,,New,Open,,,2020-08-09,51.548065,4.87138,,https://www.princenbosch.nl/,,,,,,,,,,,Par 3,,,,,,,,,,,
Europe,Netherlands,Utrecht,,Amelisweerd GC,Holiday,Member,,2021,,Spogard van der Vaart,,,,,,,,,,,,,,Renovate,Open,,,2021-11-22,52.063108,5.1487988,,https://www.amelisweerd.nl/,,,,,,,,,,,,,,,,,,,,,,
Europe,Spain,Barcelona,,Terramar Golf Club,Holiday,Member,,2021,,Ebert,,,,,,,,,,,,,,Renovate,Open,,,2021-12-24,41.226601,1.746117,,https://golfindustria.es/el-club-de-golf-terramar-inaugurara-el-proximo-jueves-13-los-tres-nuevos-hoyos-que-completan-su-recorrido/,,cKsvKR3qPNA,,,,,,,,,,,After,,,,,,,,,
Europe,Spain,Girona,,Empordà Golf,Holiday,Public,,2021,,In-house,,,,,,,,,,,,,,Renovate,Open,,Von Hagge,2022-08-07,42.013819,3.136618,,https://www.empordagolf.com/ca/,,,empordagolf,Emporda,,,,,,,,,,,,,,,,,,
Europe,Spain,Madrid,,Villa Madrid,Holiday,Member,,2021,,Olazabal,,,,,,,,,,,,,,Renovate,Open,,Ballesteros,2021-06-11,40.4459361,-3.7546593,,https://www.ccvm.es/es/deportes/golf/ultimas-noticias,,,,,,,,,,,Yellow,,,,,,,,,,,
Europe,Spain,Madrid,,Club Puerta de Hierro,Member,,100,2021,,Pont,,,,,,,,,,,,,,Renovate,Open,,Colt,2020-09-22,40.460686,-3.736681,,https://www.rcphierro.com/index.php,,,,,,,,,,,Upper,,,conorWalsh11/status/1331311836390678528, Nov 2020,,,,,,,
Europe,Spain,Malaga,,La Cala,Holiday,Public,,2021,,,,,,,,,,,,,,,,Renovate,Open,,Robinson,2021-11-22,36.5409685,-4.7250761,,https://www.lacala.com/golf/,,,,,,,,,,,,,,,,,,,,,,
Europe,Spain,Murcia,,Altaona,Holiday,,,2021,,Stirling Martin,,,,, GTM Golf ,,,,,,,,,New,Open,,,2021-12-19,37.873944,-1.09791,,https://altaonavillage.com/,,SW_zNEPvR94,,,,,,,,,GTM,,Hole 18,,,,,,,,,
Europe,Spain,Murcia,,New Sierra,Holiday,Public,,2021,9,Rodríguez-Murcia,,,,,Surtec,,,,,,,,,New,Open,,,2022-12-13,37.8565719,-0.9855099,,http://www.newsierragolf.com/,,WnJdx6RYZ40,surtecgolfagronomy,surtecgolfagronomy,,,,,,,,,9th hole,surtec_agronomy/status/1443172853399138304,Back 9,,,,,,,
Europe,Spain,Oleiros,,Golf Xaz,Holiday,,,2021,,Stirling Martin,,,,,,,,,,,,,,New,Open,,,2021-11-10,43.350747,-8.356903,,https://pazodexaz.com/,,,,,,,,,,, May 2021,,,laopinioncoruna/status/1387730911878393858,Galicia,,,,,,,
Europe,Spain,San Roque,,San Roque Old,Holiday,Member,,2021,,Clarkin,,,,,Atlantic,,,,,,,,,Renovate,Open,,Thomas,2021-04-28,36.266015,-5.338205,,https://www.sanroqueclub.com/,,oLZ0m7rDfDo,,,,,,,,,Dundas,, July 2020,TurfgrassC/status/1276520600723509249,Green 18,,,,,,,
Europe,Spain,Valencia,,La Sella,Holiday,Public,,2021,,Olazabal,,,,,Golf Técnicas,,,,,,,,,Renovate,Open,,,2021-11-23,38.8069486,0.0717002,,https://lasellagolf.com/,,,,,,,,,,,Mestral,,,SerranoCorbella/status/1462834746338201600,Vid,,,,,,,
Europe,Sweden,Sweden,,Djursholms,Holiday,Member,,2021,,Grauballe,,,,,,,,,,,,,,Renovate,Open,,,2020-08-17,59.414176,18.07817,,http://www.dgk.nu/,,punzLudl5Oo,,,,,,,,,,,2017,,,,,,,,,
GB&I,England,Basingstoke,,Weybrook Park GC,Holiday,Public,,2021,,Moodie Burrell,,,,,Ely,,,,,,,,,Rebuild ,Open,,,2021-06-01,51.2847559,-3.3650082,,https://www.weybrookpark.co.uk/the-course,,,,,,,,,,,,,,,,,,,,,,
GB&I,England,Berkshire,,Beaconsfield,Holiday,,,2021,,Hawtree,,,,,,,,,,,,,,Renovate,Open,,Colt,2021-01-16,51.609688,-0.61073,,https://www.beaconsfieldgolfclub.co.uk/,,,,,,,,,,,,,,langhorn_stuart/status/1350136761956118532,Bunkers,,,,,,,
GB&I,England,Cornwall,,St. Enodoc,Holiday,Member,,2021,,Doak,,,,,,,,,,,,,,Restore,Open,,Braid,2021-03-09,50.546875,-4.921467,,http://www.st-enodoc.co.uk/webcam-weather/webcams/,,,stenodocgolf,Enodoc,,,,,,,,,,BPBlackMetal/status/1369039838813552641,Himalaya,,,,,,,
GB&I,England,Derbyshire,,Cavendish,Holiday,,,2021,,Gaunt,,,,,,,,,,,,,,Renovate,Open,,MacKenzie,2020-12-04,53.260671,-1.931618,,https://www.golfcoursearchitecture.net/content/jonathan-gaunt-under-way-with-centenary-project-at-cavendish,,,,,,,,,,,,,,cc_golfscapes/status/1332384484864483329,Images,,,,,,,
GB&I,England,Devon,,Royal North Devon,Holiday,,100,2021,,Mackenzie Ebert,,,,,,,,,,,,,,Renovate,Open,,Morris,2020-09-10,51.045417,-5.342506,,http://www.royalnorthdevongolfclub.co.uk/,,WfPlvjs2qZg,,,,,,,,,Erosion,,8th hole,,,,,,,,,
GB&I,England,Kent,,Chart Hills,Holiday,,,2021,,Smyers Faldo,,,,,,,,,,,,,,Renovate,Open,,,2021-05-05,51.133257,0.645908,,https://charthills.co.uk/,,EeCFWwAoxTc,charthillsgolfclub,Faldo,,,,,,,,,Opening,Charthills/status/1308065981806379010,Green 18,,,,,,,
GB&I,England,Reading,,Caversham Heath,Holiday,,,2021,,McBroom,,,,,,,,,,,,,,Renovate,Open,,,2020-10-02,51.464912,-1.019179,,https://www.cavershamgolf.co.uk/,,Hv9hekAeEL4,,,,,,,,,,,Hole 6,TomMcBroom/status/1278319380296761345,2021,,,,,,,
GB&I,England,Southport,,Hillside,Holiday,,,2021,,Mackenzie Ebert,,,,,HML,,,,,,,,,Renovate,Open,,Hawtree,2022-01-30,53.619927,-4.148101,,http://www.hillside-golfclub.co.uk/,,xbxQ3Dsx7YI,,,,,,,,,,, Mar 2021,Hillside_GC/status/1487108374026194949,Images,,,,,,,
GB&I,England,Surrey,,New Zealand,Holiday,,,2021,,Pont Walsh,,,,,,,,,,,,,,Renovate,Open,,Simpson,2021-03-24,51.34104,-0.802667,,https://www.nzgc.org/,,,,,,,,,,,,,,cdpgolf1/status/1373571937537040384,Hole 9,,,,,,,
GB&I,Ireland,Cork,,Tralee,Holiday,,,2021,,Webster,,,,,,,,,,,,,,Renovate,Open,,Palmer Seay,2020-12-12,52.301344,-9.860014,,https://traleegolfclub.com/,,,,,,,,,,,,,,traleegolflinks/status/1337405543657459713,Hole 7,,,,,,,
GB&I,Ireland,Donegal,,St Patricks,Holiday,,,2021,,Doak Iverson Johnson Moser,,,Angela Moser,Clyde Johnson,,,,,,,,,,New,Open,,,2021-08-25,55.188626,-7.831761,,https://www.stpatrickslinks.ie,,y35vPnZZ5MY,stpatrickslinks,Casey,,,360,,,,,,Bertram,Rosapenna1893/status/1366328064549015552,Donegal,Yes,,,,,,
GB&I,No. Ireland,Down,,Ardglass,Holiday,,,2021,,Kearney,,,,,,,,,,,,,,Renovate,Open,,David Jones,2020-11-25,54.258457,-5.60804,,https://www.ardglassgolfclub.com,,OCCoqrrLqfU,ardglassgolf,Ardglass,,,,,,,,,Paul Vaughan,KenKearneyGD/status/1326942654375063553, Nov 2020,,,,,,,
GB&I,Scotland,Ayshire,,Royal Troon Portland,Holiday,,,2021,,Ebert,,,,,,,,,,,,,,Renovate,Open,,,2020-12-09,55.532714,-4.651851,,https://www.royaltroon.co.uk/,,zE6VNLgVSso,,,,,,,,,,,Hole 9,Scoot_1988/status/1316325943154290689,Hole 9,,,,,,,
GB&I,Scotland,Dunbartonshire,,Loch Lomond,Member,,100,2021,,GolfLink Evolve,$10M,,,,,,,,,,,,,Restore,Open,,Wesikopf Morrish,2021-03-09,56.073436,-4.638698,,https://www.lochlomond.com/,,,,,,,,,,,$10M,,,CapConGolf1/status/1369225068736352258,CapCon,,,,,,,
GB&I,Wales,Powys,,Rhayader,Holiday,Public,,2021,,Powell,,,,,,,,,,,,,,Restore,Open,,Mackenzie,2021-05-13,52.301575,-3.507359,,https://golf.com/travel/how-abandoned-alister-mackenzie-course-rose-from-ashes/,,,,,,,,,,,,,,KenBrownGolf/status/1390994056357064705,Wales,,,,,,,
L America,Argentina,Buenos Aires,,San Pedro,Holiday,Public,,2021,,Prieto,,,,,,,,,,,,,,New,Open,,,2021-02-02,-33.689482,-60.785915,,https://www.sanpedroinforma.com.ar/nota/123647?fbclid=IwAR1iYbn7uG__aI4OGK-Hfq5MrCKwLxIPYE6izzvzdYv0gx22WNy7zPlydGY,,,,,,,,,,,Tipaldi,,,,,,,Claudio Tipaldi,,,,
L America,Brazil,Itatiba,,Santapazienza,Member,,100,2021,,Logan Fazio,,,,,,,,,,,,,,Renovate,Open,,Tom Fazio,2020-05-02,-23.065522,-46.833755,,,,,,,,,,,,,,,,,,Maybe,,,,,,
L America,Colombia,Atlantico,,Barranquilla,Holiday,Public,,2021,,Jemsek,,,,,,,,,,,,,,Renovate,Open,,,2021-02-01,11.005344,-75.924908,,https://country.com.co/deportes/golf/,,,,,,,,,,,,,,jemsekgolf/status/1072181974121570305,Update,,,,,,,
L America,Colombia,Bogotá,,Briceño 18,Holiday,Public,,2021,,Piza,,,,,,,,,,,,,,Renovate,Open,,,2021-06-14,4.937556,-76.206159,,https://briceno18.co/campo-de-golf/instalaciones-horarios-y-precios/,,,,,,,,,,,Vinasco,,,,,,,,,,,
